"","ForecastYear","Month","LeadMonth","AnalogYear","Distance","Weight","Rank"
"1",1993,6,4,2014,0.264463767244535,0.119307817370275,1
"2",1993,6,4,1995,0.264463767244535,0.119307817370275,2
"3",1993,6,4,2005,0.264463767244535,0.119307817370275,3
"4",1993,6,4,2017,0.264463767244535,0.119307817370275,4
"5",1993,6,4,1996,0.362143886560725,0.0871281217531503,5
"6",1993,6,4,2018,0.362143886560725,0.0871281217531503,6
"7",1993,6,4,2004,0.362143886560725,0.0871281217531503,7
"8",1993,6,4,1985,0.362143886560725,0.0871281217531503,8
"9",1993,6,4,1994,0.362143886560725,0.0871281217531503,9
"10",1993,6,4,2011,0.362143886560725,0.0871281217531503,10
"11",1994,6,4,2006,0.213819498463397,0.111790368508749,1
"12",1994,6,4,2001,0.213819498463397,0.111790368508749,2
"13",1994,6,4,1991,0.213819498463397,0.111790368508749,3
"14",1994,6,4,2013,0.213819498463397,0.111790368508749,4
"15",1994,6,4,2011,0.259422843138474,0.0921397543275008,5
"16",1994,6,4,1985,0.259422843138474,0.0921397543275008,6
"17",1994,6,4,2004,0.259422843138474,0.0921397543275008,7
"18",1994,6,4,2018,0.259422843138474,0.0921397543275008,8
"19",1994,6,4,1996,0.259422843138474,0.0921397543275008,9
"20",1994,6,4,1994,0.259422843138474,0.0921397543275008,10
"21",1995,6,4,2004,0.259703698848855,0.111383660670895,1
"22",1995,6,4,2003,0.259703698848855,0.111383660670895,2
"23",1995,6,4,1983,0.259703698848855,0.111383660670895,3
"24",1995,6,4,2012,0.259703698848855,0.111383660670895,4
"25",1995,6,4,2010,0.309744374429177,0.0933896819293443,5
"26",1995,6,4,2008,0.309744374429177,0.0933896819293443,6
"27",1995,6,4,1982,0.309744374429177,0.0933896819293443,7
"28",1995,6,4,2007,0.309744374429177,0.0933896819293443,8
"29",1995,6,4,1985,0.309744374429177,0.0933896819293443,9
"30",1995,6,4,1995,0.330530121364169,0.0875169476696989,10
"31",1996,6,4,2008,0.294926583082769,0.101872855390327,1
"32",1996,6,4,2010,0.294926583082769,0.101872855390327,2
"33",1996,6,4,2007,0.294926583082769,0.101872855390327,3
"34",1996,6,4,1985,0.294926583082769,0.101872855390327,4
"35",1996,6,4,1982,0.294926583082769,0.101872855390327,5
"36",1996,6,4,2013,0.30618490659006,0.0981271446096728,6
"37",1996,6,4,1998,0.30618490659006,0.0981271446096728,7
"38",1996,6,4,1989,0.30618490659006,0.0981271446096728,8
"39",1996,6,4,2002,0.30618490659006,0.0981271446096728,9
"40",1996,6,4,1993,0.30618490659006,0.0981271446096728,10
"41",1997,6,4,2014,0.282555965755253,0.102385793009632,1
"42",1997,6,4,1995,0.282555965755253,0.102385793009632,2
"43",1997,6,4,2005,0.282555965755253,0.102385793009632,3
"44",1997,6,4,2017,0.282555965755253,0.102385793009632,4
"45",1997,6,4,2011,0.293973293389284,0.0984094713269123,5
"46",1997,6,4,2018,0.293973293389284,0.0984094713269123,6
"47",1997,6,4,2004,0.293973293389284,0.0984094713269123,7
"48",1997,6,4,1996,0.293973293389284,0.0984094713269123,8
